index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
  465,             ,        10000,          96,               ,                8,            ,    253980,      0.03,     17.82,        8.92,               8,                  8
  466,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  467,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  468,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  469,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  470,             ,         9838,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  471,             ,        10162,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  472,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  473,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  474,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  475,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  476,             ,        10000,          93,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  477,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  478,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  479,             ,        10000,          75,               ,                8,            ,    253980,      0.03,     17.80,        8.92,               8,                  8
  480,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  481,             ,         9838,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  482,             ,        10162,          75,               ,                7,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  483,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  484,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  485,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  486,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  487,             ,        10000,          96,               ,                8,            ,    253980,      0.03,     17.81,        8.92,               8,                  8
  488,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  489,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  490,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  491,             ,        10000,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  492,             ,         9838,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  493,             ,        10162,          75,               ,                7,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  494,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  495,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  496,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  497,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.83,        8.93,               8,                  8
  498,             ,        10000,          93,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  499,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.83,        8.93,               8,                  8
